Locus_tag	Gene_name	Gene_type	Location	EBSS_rep1	EBSS_rep2	WTM_rep1	WTM_rep2
SL1344_0126	murD	CDS	chromosome	4736.50	3574.50	7351	6633
SL1344_0127	ftsW	CDS	chromosome	4571	3569	7099	5798.50
SL1344_0128	murG	CDS	chromosome	3337	2622	5581	4811.50
SL1344_0129	murC	CDS	chromosome	4740	3454.50	6528.50	5764.50
SL1344_0130	ddl	CDS	chromosome	4693.50	3585.50	8342.50	7399.50
SL1344_0131	ftsQ	CDS	chromosome	4001.50	2889.50	6284.50	5579
SL1344_0132	ftsA	CDS	chromosome	7053	5452.50	11222.50	10692
SL1344_0133	ftsZ	CDS	chromosome	8384	6938	12003	10765
SL1344_0134	lpxC	CDS	chromosome	17000	12820	24544	21978
SL1344_0135	yacA	CDS	chromosome	1248	799	1691	1402
SL1344_0136	secA	CDS	chromosome	7455	5485	9894	8675
SL1344_0137	mutT	CDS	chromosome	208	157	267	264
SL1344_0138	yacG	CDS	chromosome	446.50	285.50	555	523.50
SL1344_0139	yacF	CDS	chromosome	1019.50	773	1486	1320.50
SL1344_0140	coaE	CDS	chromosome	840	490.50	1001	1018
SL1344_0141	guaC	CDS	chromosome	4256	2963	6274	5670
SL1344_0142	pilC	CDS	chromosome	31.50	26	38	40
SL1344_0143	pilB	CDS	chromosome	30	14	28.50	14
SL1344_0144	pilA	CDS	chromosome	11.50	13	7.50	18
SL1344_0145	nadC	CDS	chromosome	459	316	656	602
SL1344_0146	ampD	CDS	chromosome	1364	1057.50	2270	1765.50
SL1344_0147	ampE	CDS	chromosome	1102	979.50	1890	1759.50
SL1344_0148	STM0148	CDS	chromosome	122.50	77	206	192.50
SL1344_0149	STM0149	CDS	chromosome	158.50	110	203	170.50
SL1344_0150	aroP	CDS	chromosome	1139	953	1863	1654
SL1344_0151	pdhR	CDS	chromosome	1843	1241	2051	2229.50
SL1344_0152	aceE	CDS	chromosome	14488.50	11400.50	22993	18489.50
SL1344_0153	aceF	CDS	chromosome	12168.50	9660.50	20849	16760.50
SL1344_0154	lpdA	CDS	chromosome	12272	10399	17171	14794
SL1344_0155	STM0155	CDS	chromosome	39	26	51	53
SL1344_0156	STM0156	CDS	chromosome	57	67	80	57
SL1344_0157	yacH	CDS	chromosome	111	67	117	78
SL1344_0159	acnB	CDS	chromosome	10121	7718	12039.50	9362
SL1344_0160	STM0159	CDS	chromosome	3170	2117	3874	3689
SL1344_0161	yacL	CDS	chromosome	1515	917	2368	1894
SL1344_0162	kdgT	CDS	chromosome	117.50	83.50	172	130.50
SL1344_0163	STM0162	CDS	chromosome	133	131.50	180	144
SL1344_0164	pdxAb	CDS	chromosome	528	375.50	742.50	606
SL1344_0165	STM0164	CDS	chromosome	1681.50	1124.50	2626.50	2389.50
SL1344_0166	speD	CDS	chromosome	1319	849	1509.50	1228.50
SL1344_0167	speE	CDS	chromosome	1012	760	1387.50	1041.50
SL1344_0168	yacC	CDS	chromosome	1856	1196	3002	2541
SL1344_0169	cueO	CDS	chromosome	448	406	608	505
SL1344_0170	gcd	CDS	chromosome	1849	2030	2437	2201
SL1344_0171	hpt	CDS	chromosome	1042	667	1145	1287
SL1344_0172	yadF	CDS	chromosome	9900	7174	16714	15737
SL1344_0173	yadG	CDS	chromosome	961.50	736.50	1240	1081.50
SL1344_0174	yadH	CDS	chromosome	686.50	541.50	970	867.50
SL1344_0175	stiH	CDS	chromosome	98	72	125	107
SL1344_0176	stiC	CDS	chromosome	56	35.50	62	57.50
SL1344_0177	stiB	CDS	chromosome	16	9.50	23	22.50
SL1344_0178	stiA	CDS	chromosome	50	34	54	52
SL1344_0179	yadI	CDS	chromosome	183	101	178	164
SL1344_0180	yadE	CDS	chromosome	810	669	900	742
SL1344_0181	panD	CDS	chromosome	1295	879	1600	1383
SL1344_0182	panC	CDS	chromosome	583	386	719	709
SL1344_0183	panB	CDS	chromosome	481	311	651	609
SL1344_0184	folK	CDS	chromosome	224.50	189	319	239.50
SL1344_0185	pcnB	CDS	chromosome	1867.50	1379	2497	2478.50
SL1344_0186	yadB	CDS	chromosome	519.50	426	591	533
SL1344_0187	dksA	CDS	chromosome	6511.50	4068	7925	7163
SL1344_0188	sfsA	CDS	chromosome	1450.50	965.50	2045	1678
SL1344_0189	ligT	CDS	chromosome	681.50	470.50	1128	1043
SL1344_0190	hrpB	CDS	chromosome	1839	1372	2636	2405
SL1344_0191	mrcB	CDS	chromosome	4560	3324	5806	5314
SL1344_0192	fhuA	CDS	chromosome	8896.50	6169	13858.50	13570
SL1344_0193	fhuC	CDS	chromosome	1707	1190	2758	2588
SL1344_0194	fhuD	CDS	chromosome	1597.50	1092.50	2310.50	2139.50
SL1344_0195	fhuB	CDS	chromosome	3728	2500.50	5923	5383
SL1344_0196	stfA	CDS	chromosome	38	28	52	33
SL1344_0197	stfC	CDS	chromosome	147.50	145	168.50	155
SL1344_0198	stfD	CDS	chromosome	37.50	40	37.50	26
SL1344_0199	stfE	CDS	chromosome	24	32	16.50	36.50
SL1344_0200	stfF	CDS	chromosome	40	35.50	41	33.50
SL1344_0201	stfG	CDS	chromosome	30	27.50	27	16
SL1344_0202	STM0201	CDS	chromosome	230.50	206	356.50	335
SL1344_0203	hemL	CDS	chromosome	2348	1712	3757	3317
SL1344_0204	clcA	CDS	chromosome	701	521	1063	898
SL1344_0205	yadR	CDS	chromosome	7962	5435	11950	10927
SL1344_0206	yadS	CDS	chromosome	123.50	89	178.50	165.50
SL1344_0207	btuF	CDS	chromosome	271.50	200.50	412.50	323.50
SL1344_0208	mtn	CDS	chromosome	1154	848.50	1885	1631
SL1344_0209	dgt	CDS	chromosome	1277	846	1882	1761
SL1344_0210	htrA	CDS	chromosome	6780	5129.50	7571.50	6819
SL1344_0211	cdaR	CDS	chromosome	961	728	1441	1123
SL1344_0212	yaeH	CDS	chromosome	3490	2162	5431.50	4132
SL1344_0213	STM0212	CDS	chromosome	4950.50	5201	4517.50	3846
SL1344_0214	dapD	CDS	chromosome	8325	5836	12192.50	10975
SL1344_0215	glnD	CDS	chromosome	1747	1391	2570.50	2275
SL1344_0216	map	CDS	chromosome	2601	1662	3933	3373
SL1344_0217	rpsB	CDS	chromosome	19219.50	13884	25503.50	19590.50
SL1344_0218	tsf	CDS	chromosome	13211	8639	16442	15136
SL1344_0219	pyrH	CDS	chromosome	4164	2905	5049	4257
SL1344_0220	frr	CDS	chromosome	6222	4651.50	8555	8440.50
SL1344_0221	dxr	CDS	chromosome	1536	1090	2315	2349
SL1344_0222	uppS	CDS	chromosome	3782	2775	4441.50	4305
SL1344_0223	cdsA	CDS	chromosome	3354	3349.50	5287.50	5010.50
SL1344_0224	yaeL	CDS	chromosome	11139	10586.50	16424	15892.50
SL1344_0225	yaeT	CDS	chromosome	26498	21514	35750	29941
SL1344_0226	hlpA	CDS	chromosome	11924	9699.50	15095	14047
SL1344_0227	lpxD	CDS	chromosome	10885	8759.50	15148	13987
SL1344_0228	fabZ	CDS	chromosome	7730	5932	10818.50	9867
SL1344_0229	lpxA	CDS	chromosome	5625	5255.50	8620.50	8448
SL1344_0230	lpxB	CDS	chromosome	2430.50	2174	3304.50	3431.50
SL1344_0231	rnhB	CDS	chromosome	1327	1014.50	1861.50	1770.50
SL1344_0232	dnaE	CDS	chromosome	6937	5678.50	8966.50	8569
SL1344_0233	accA	CDS	chromosome	3684.50	3109.50	4747.50	4249
SL1344_0234	STM0233	CDS	chromosome	615	424	792	807
SL1344_0235	ldcC	CDS	chromosome	1905	1404	3296	2886
SL1344_0236	yaeR	CDS	chromosome	675	416	1047	875
SL1344_0237	mesJ	CDS	chromosome	792	602	1379	1248
SL1344_0238	rof	CDS	chromosome	1329	761.50	1670	1679
SL1344_0239	yaeP	CDS	chromosome	3447	1842.50	4579	4229
SL1344_0240	yaeQ	CDS	chromosome	890	745.50	1085.50	1057
SL1344_0241	yaeJ	CDS	chromosome	1036.50	660.50	1283	1169.50
SL1344_0242	cutF	CDS	chromosome	1043.50	959	1649.50	1538.50
SL1344_0243	proS	CDS	chromosome	3552	2598	5180	4560
SL1344_0244	yaeB	CDS	chromosome	488.50	380.50	796	727.50
SL1344_0245	rcsF	CDS	chromosome	1311.50	762.50	1575	1411.50
SL1344_0246	metQ	CDS	chromosome	3495.50	2571	6036.50	5255
SL1344_0247	yaeE	CDS	chromosome	1151.50	805.50	2186	1689
SL1344_0248	abc	CDS	chromosome	1248	804.50	1875.50	1586
SL1344_0249	yaeD	CDS	chromosome	1566	1046	2478	1971
SL1344_0250	dkgB	CDS	chromosome	397	316	517	395
SL1344_0251	yafC	CDS	chromosome	236	156	377	327
SL1344_0252	STM0257	CDS	chromosome	108	95	181	161
SL1344_0253	yafD	CDS	chromosome	1661	1224	3144	2865
SL1344_0254	yafE	CDS	chromosome	1007	694	1918	1585
SL1344_0255	dniR	CDS	chromosome	6953	6118	8026	8047
SL1344_0256	gloB	CDS	chromosome	691	490	924	733
SL1344_0257	yafS	CDS	chromosome	589	326	939	833
SL1344_0258	rnhA	CDS	chromosome	990	545	1305	1429
SL1344_0259	dnaQ	CDS	chromosome	1123	718	1576	1319
SL1344_0260	sciA	CDS	chromosome	99.50	100.50	141.50	117.50
SL1344_0261	sciB	CDS	chromosome	51.50	45.50	51	48
SL1344_0262	sciC	CDS	chromosome	164.50	136	191.50	175.50
SL1344_0263	sciD	CDS	chromosome	61	52.50	94	76.50
SL1344_0264	sciE	CDS	chromosome	83	48	87	89.50
SL1344_0265	sciF	CDS	chromosome	82.50	69.50	113	68
SL1344_0266	sciG	CDS	chromosome	185	132	234	199
SL1344_0267	sciH	CDS	chromosome	41	38	53	39.50
SL1344_0268	sciI	CDS	chromosome	118	97	161	135.50
SL1344_0270	sciJ	CDS	chromosome	98	72	87	71
SL1344_0271	sciK	CDS	chromosome	17	20	14.50	20
SL1344_0272	STM0277	CDS	chromosome	123	74	122	133
SL1344_0273	STM0278	CDS	chromosome	64	30	45	37
SL1344_0274	sciK1	CDS	chromosome	31	29	34.50	31
SL1344_0275	sciN	CDS	chromosome	14	11.50	18.50	13.50
SL1344_0276	sciO	CDS	chromosome	52	27	60.50	45
SL1344_0277	sciP	CDS	chromosome	63.50	59	72.50	82
SL1344_0278	sciQ	CDS	chromosome	50.50	41.50	57.50	60
SL1344_0279	sciR	CDS	chromosome	19	8.50	30	22.50
SL1344_0280	sciS	CDS	chromosome	285.50	294	413.50	359.50
SL1344_0281	sciT	CDS	chromosome	90.50	65	113	87.50
SL1344_0282	sciU	CDS	chromosome	64	30	58.50	61
SL1344_0283	sciV	CDS	chromosome	119	101.50	136	136.50
SL1344_0284	vgrS	CDS	chromosome	161	117	196.50	186.50
SL1344_0285	sciW	CDS	chromosome	19.50	13.50	26.50	15
SL1344_0286	STM0291	CDS	chromosome	1025.50	828.50	1400.50	1262
SL1344_0286A	SL1344_0286A	CDS	chromosome	540.50	415.50	602	607
SL1344_0286B	STM0292	CDS	chromosome	1387.50	1032	2033.50	1844.50
SL1344_0288	sciX	CDS	chromosome	334	205.50	323	400
SL1344_0289	sciY	CDS	chromosome	128	102	118	158
SL1344_0291	STM0295	CDS	chromosome	166	118	152	212
SL1344_0292	STM0296	CDS	chromosome	29	31	59	33
SL1344_0293	STM0297	CDS	chromosome	12	22	27	34
SL1344_0294	STM0298	CDS	chromosome	12	3	8	4
SL1344_0295	safA	CDS	chromosome	597	319	763	693
SL1344_0296	safB	CDS	chromosome	220.50	112	211.50	179
SL1344_0297	safC	CDS	chromosome	922.50	768.50	1318.50	1200
SL1344_0298	safD	CDS	chromosome	187	169.50	219	221
SL1344_0299	ybeJ	CDS	chromosome	531	437	363	379
SL1344_0300	sinR	CDS	chromosome	1515	859	1957	1594
SL1344_0301	STM0305	CDS	chromosome	60	33	69	67
SL1344_0302	pagN	CDS	chromosome	10030	10165	7314	6003
SL1344_0303	sciZ	CDS	chromosome	1281	1583	1178	1058
SL1344_0304	yafV	CDS	chromosome	1071	677	1624	1203
SL1344_0305	fadE	CDS	chromosome	2806	2390	3713	2432
SL1344_0306	gmhA	CDS	chromosome	2397	1819	4116	3579
SL1344_0307	yafJ	CDS	chromosome	1371	1017	2086	1953
SL1344_0308	yafK	CDS	chromosome	706	416	856	815
SL1344_0309	dbh	CDS	chromosome	1335	902	1696	1462
SL1344_0310	STM0314	CDS	chromosome	1183.50	837.50	1163	1178.50
SL1344_0311	prfH	CDS	chromosome	535.50	381.50	513	586.50
SL1344_0312	pepD	CDS	chromosome	5331	4091	8084	6815
SL1344_0313	gpt	CDS	chromosome	570	322	659.50	626
SL1344_0314	frsA	CDS	chromosome	2253	1376	3438	2861
SL1344_0315	crl	CDS	chromosome	4757	3461	8097	6686
SL1344_0316	phoE	CDS	chromosome	3557	2117	3451	3267
SL1344_0317	proB	CDS	chromosome	2990.50	2211	4448	4141.50
SL1344_0318	proA	CDS	chromosome	2088.50	1524	2999	2896.50
SL1344_0319	STM0325	CDS	chromosome	59	45	80.50	67.50
SL1344_0320	dhaF	CDS	chromosome	31	17	39	22
SL1344_0322	STM0327	CDS	chromosome	5539	2708	7565	4880
SL1344_0323	STM0328	CDS	chromosome	79	67	72	66
SL1344_0324	leuC2	CDS	chromosome	53	47	84	53
SL1344_0325	leuD2	CDS	chromosome	43	34	48.50	38
SL1344_0326	STM0331	CDS	chromosome	114	106.50	197	137
SL1344_0327	STM0332	CDS	chromosome	175.33	158.67	232.17	218.00
SL1344_0328	STM0333	CDS	chromosome	342.33	241.17	477.67	474.50
SL1344_0329	STM0334	CDS	chromosome	66	40	107	76
SL1344_0330	STM0335	CDS	chromosome	111	58	108	113
SL1344_0331	stbE	CDS	chromosome	145.50	118.50	169	164.50
SL1344_0332	stbD	CDS	chromosome	174.50	163	216	239.50
SL1344_0333	stbC	CDS	chromosome	202	150	355.50	291
SL1344_0334	stbB	CDS	chromosome	3	10.50	11.50	8
SL1344_0335	stbA	CDS	chromosome	10	2	6	8
SL1344_0336	STM0341	CDS	chromosome	687	466	752.50	704.50
SL1344_0337	STM0342	CDS	chromosome	272	199	249.50	317.50
SL1344_0338	STM0343	CDS	chromosome	521	423	610	607
SL1344_0339	STM0344	CDS	chromosome	1617.50	1067.50	2062	1940
SL1344_0340	STM0345	CDS	chromosome	414.50	274.50	544	536
SL1344_0341	STM0346	CDS	chromosome	201	130	218	155
SL1344_0342	STM0347	CDS	chromosome	296.50	160.50	217	209.50
SL1344_0343	STM0348	CDS	chromosome	70.50	40.50	63	45.50
SL1344_0344	STM0349	CDS	chromosome	155	89	150	122
SL1344_0345	STM0350	CDS	chromosome	61	51	76	54
SL1344_0346	STM0351	CDS	chromosome	102	63.50	99	102
SL1344_0347	STM0352	CDS	chromosome	11	11.50	17	6
SL1344_0348	STM0353	CDS	chromosome	154.50	141	250	195.50
SL1344_0349	STM0354	CDS	chromosome	83.50	63	97	83.50
SL1344_0350	STM0355	CDS	chromosome	151	114	228	230
SL1344_0351	STM0356	CDS	chromosome	429	509	365	387
SL1344_0352	mod	CDS	chromosome	1941.50	1301	2880	2519
SL1344_0353	res	CDS	chromosome	3071.50	2183	4365	3650
SL1344_0354	STM0359	CDS	chromosome	458	316	745	534
SL1344_0355	STM0360	CDS	chromosome	567.50	552	845	756.50
SL1344_0356	STM0361	CDS	chromosome	697	652.50	1148.50	1022.50
SL1344_0357	STM0362	CDS	chromosome	67.50	54.50	105.50	90
SL1344_0358	STM0363	CDS	chromosome	5868	3597	10463	8685
SL1344_0359	foxA	CDS	chromosome	2603	1741	4946	4558
SL1344_0360	yahN	CDS	chromosome	1701	1059	2483	1778
SL1344_0361	yahO	CDS	chromosome	907	730	1196	870
SL1344_0362	prpR	CDS	chromosome	267	197	392	278
SL1344_0363	prpB	CDS	chromosome	70	60	94	65
SL1344_0364	prpC	CDS	chromosome	96.50	66	93.50	78.50
SL1344_0365	prpD	CDS	chromosome	82.50	55	128.50	110.50
SL1344_0366	prpE	CDS	chromosome	198	177	233	171
SL1344_0367	hemB	CDS	chromosome	2266	1451	3302	2616
SL1344_0368	yaiU	CDS	chromosome	1364	965	1767	1554
SL1344_0369	yaiV	CDS	chromosome	162	111	220	214
SL1344_0370	ampH	CDS	chromosome	875	706	1224	1159
SL1344_0371	sbmA	CDS	chromosome	1135	952.50	1538	1337
SL1344_0372	yaiW	CDS	chromosome	894	713.50	1391	1190
SL1344_0373	yaiY	CDS	chromosome	659	630	467	447
SL1344_0374	yaiZ	CDS	chromosome	4790	2783	8378	5632
SL1344_0375	ddlA	CDS	chromosome	1954	1533	3184	3073
SL1344_0376	STM0381	CDS	chromosome	318	325	387	347
SL1344_0377	STM0382	CDS	chromosome	228	154	366	376
SL1344_0378	yaiB	CDS	chromosome	4285	3429	4635	4399
SL1344_0379	psiF	CDS	chromosome	405	286	493	426
SL1344_0380	adrA	CDS	chromosome	549	554	816	843
SL1344_0381	proC	CDS	chromosome	1918	1428	3065	2467
SL1344_0382	yaiI	CDS	chromosome	489	410	854	747
SL1344_0383	aroL	CDS	chromosome	1261	1028	2096	2033.50
SL1344_0384	yaiA	CDS	chromosome	1380	1004	1891	1508.50
SL1344_0385	aroM	CDS	chromosome	1260	1056	1581	1457
SL1344_0386	yaiE	CDS	chromosome	2016	1444	3220	2627
SL1344_0387	rdgC	CDS	chromosome	988	633	1336	1235
SL1344_0388	yajF	CDS	chromosome	953	621	1365	1176
SL1344_0389	araJ	CDS	chromosome	690	599	877	710
SL1344_0390	sbcC	CDS	chromosome	1064	801.50	1472	1248.50
SL1344_0391	sbcD	CDS	chromosome	419	361.50	620	549.50
SL1344_0392	phoB	CDS	chromosome	3828	2895	4891	4668
SL1344_0393	phoR	CDS	chromosome	3329	2791	4667	4252
SL1344_0394	brnQ	CDS	chromosome	4120	3533	5183	4423
SL1344_0395	proY	CDS	chromosome	1439	1194	1874	1734
SL1344_0396	malZ	CDS	chromosome	387	297	502	474
SL1344_0397	tsaA	CDS	chromosome	9215	8283	11078	9074
SL1344_0398	yajB	CDS	chromosome	1393	963	2378	1924
SL1344_0399	queA	CDS	chromosome	766	600	1030	934
SL1344_0400	tgt	CDS	chromosome	4514.50	3497	6700.50	6140.50
SL1344_0401	yajC	CDS	chromosome	5627	4347	8699	7265
SL1344_0402	secD	CDS	chromosome	7244	5757.50	10036	9104
SL1344_0403	secF	CDS	chromosome	4291.50	3873.50	6542.50	5509.50
SL1344_0404	STM0409	CDS	chromosome	305.50	278.50	489.50	387
SL1344_0405	STM0410	CDS	chromosome	341.50	265.50	398.50	359
SL1344_0406	yajD	CDS	chromosome	1200	760	1727	1557
SL1344_0407	tsx	CDS	chromosome	1315	875	1907	1333
SL1344_0408	yajI	CDS	chromosome	188	128	275	202
SL1344_0409	nrdR	CDS	chromosome	3697.50	2386.50	4148.50	3284
SL1344_0410	ribD	CDS	chromosome	4717.50	4532.50	4559.50	3903
SL1344_0411	ribH	CDS	chromosome	6301.50	6379.50	6504.50	5802.75
SL1344_0412	nusB	CDS	chromosome	4607.50	4293.50	5439.50	5105.25
SL1344_0413	thiL	CDS	chromosome	1615.50	1374	1805.50	1496.50
