474_ID	SL1344_ID	LT2_ID	Gene_name	Gene_type	Location
SL1344_2985	SL2985	STM3007	ygdR	CDS	chromosome
SL1344_ncRNA_126	NONE	NONE	STnc2180	ncRNA	chromosome
SL1344_1305	SL1305	STM1371	sufC	CDS	chromosome
SL1344_2793	SL2793	STM2808	nrdF	CDS	chromosome
SL1344_2795	SL2795	STM2810	proW	CDS	chromosome
SL1344_2842	SL2842	STM2862	sitB	CDS	chromosome
SL1344_2867	SL2867	STM2888	spaR	CDS	chromosome
SL1344_3860A	NONE	NONE	ilvX	CDS	chromosome
SL1344_ncRNA_113	NONE	NONE	STnc3580	ncRNA	chromosome
SL1344_ncRNA_255	NONE	NONE	STnc800	ncRNA	chromosome
SL1344_2758	SL2758	STM2773	iroB	CDS	chromosome
SL1344_2853	SL2853	STM2873	prgI	CDS	chromosome
SL1344_2860	SL2860	STM2881	iacP	CDS	chromosome
SL1344_2877	SL2877	STM2898	invG	CDS	chromosome
SL1344_ncRNA_103	NONE	NONE	STnc3530	ncRNA	chromosome
SL1344_ncRNA_205	NONE	NONE	STnc3870	ncRNA	chromosome
SL1344_1655	SL1655	STM1724	trpD	CDS	chromosome
SL1344_1802	SL1802	STM1868A	STM1868A	CDS	chromosome
SL1344_2183	SL2183	STM2206	fruB	CDS	chromosome
SL1344_2714	NONE	NONE	SL1344_2714	CDS	prophage
SL1344_2760	SL2760	STM2775	iroD	CDS	chromosome
SL1344_3132	SL3132	STM3158	exbD	CDS	chromosome
SL1344_ncRNA_189	NONE	NONE	InvR	ncRNA	chromosome
SL1344_2792	SL2792	STM2807	nrdE	CDS	chromosome
SL1344_2854	SL2854	STM2874	prgH	CDS	chromosome
SL1344_2944	SL2944	STM2963	STM2963	CDS	chromosome
SL1344_ncRNA_2	NONE	NONE	STnc890	ncRNA	chromosome
SL1344_ncRNA_238	NONE	NONE	STnc1430	ncRNA	chromosome
SL1344_ncRNA_26	NONE	NONE	STnc920	ncRNA	chromosome
SL1344_0778	SL0778	STM0802	moaA	CDS	chromosome
SL1344_0779	SL0779	STM0803	moaB	CDS	chromosome
SL1344_1303	SL1303	STM1369	sufA	CDS	chromosome
SL1344_1654	SL1654	STM1723	trpE	CDS	chromosome
SL1344_1304	SL1304	STM1370	sufB	CDS	chromosome
SL1344_1447	SL1447	STM1517	ydeD	CDS	chromosome
SL1344_ncRNA_92	NONE	NONE	STnc4210	ncRNA	chromosome
SL1344_0757	SL0757	STM0780	ybhT	CDS	chromosome
SL1344_1177	SL1177	STM1239	sopF	CDS	chromosome
SL1344_1307	SL1307	STM1373	sufS	CDS	chromosome
SL1344_1517	SL1517	STM1586	STM1586	CDS	chromosome
SL1344_2265	SL2265	STM2296	ais	CDS	chromosome
SL1344_3285	SL3285	STM3313	yrbF	CDS	chromosome
SL1344_ncRNA_191	NONE	STM2966	CsrB	ncRNA	chromosome
SL1344_0956	SL0956	STM1018	STM2622	CDS	prophage
SL1344_1133	SL1133	STM1196	acpP	CDS	chromosome
SL1344_1744	SL1744	STM1816	minE	CDS	chromosome
SL1344_3753	SL3753	STM3787	uhpT	CDS	chromosome
SL1344_ncRNA_121	NONE	NONE	SraC	ncRNA	chromosome
SL1344_ncRNA_154	NONE	NONE	STnc1560	ncRNA	chromosome
SL1344_ncRNA_44	NONE	NONE	STnc070	ncRNA	chromosome
SL1344_0122	SL0122	STM0122	ftsI	CDS	chromosome
SL1344_0579	SL0579	STM0591	fepG	CDS	chromosome
SL1344_1309	SL1309	STM1375	ynhG	CDS	chromosome
SL1344_2843	SL2843	STM2863	sitC	CDS	chromosome
SL1344_3031	SL3031	STM3055	gcvT	CDS	chromosome
SL1344_ncRNA_226	NONE	NONE	STnc1670	ncRNA	chromosome
SL1344_ncRNA_241	NONE	NONE	STnc380	ncRNA	chromosome
SL1344_0614	SL0614	STM0626	citB	CDS	chromosome
SL1344_3869	SL3869	STM3909	ilvC	CDS	chromosome
SL1344_3951A	NONE	NONE	yshB	CDS	chromosome
SL1344_ncRNA_227	NONE	NONE	STnc4000	ncRNA	chromosome
SL1344_0359	SL0359	STM0364	foxA	CDS	chromosome
SL1344_0576	SL0576	STM0588	entF	CDS	chromosome
SL1344_0585	SL0585	STM0597	entB	CDS	chromosome
SL1344_1234	SL1234	STM1299	gdhA	CDS	chromosome
SL1344_4463	SL4463	STM4532	cstAb	CDS	chromosome
SL1344_0639	SL0639	STM0651	STM0651	CDS	chromosome
SL1344_2585	SL2585	NONE	SL1344_2585	CDS	prophage
SL1344_2761	SL2761	STM2776	iroE	CDS	chromosome
SL1344_3990	SL3990	STM4042	STM4042	CDS	chromosome
SL1344_ncRNA_264	NONE	NONE	STnc1460	ncRNA	chromosome
SL1344_0781	SL0781	STM0805	moaD	CDS	chromosome
SL1344_0782	SL0782	STM0806	moaE	CDS	chromosome
SL1344_1075	SL1075	STM1138	ycdZ	CDS	chromosome
SL1344_4055	SL4055	STM4105	metF	CDS	chromosome
SL1344_0575	SL0575	STM0587	ybdZ	CDS	chromosome
SL1344_1306	SL1306	STM1372	sufD	CDS	chromosome
SL1344_1593	SL1593	STM1662	ynaJ	CDS	chromosome
SL1344_2841	SL2841	STM2861	sitA	CDS	chromosome
SL1344_3989	SL3989	STM4041	STM4041	CDS	chromosome
SL1344_ncRNA_67	NONE	NONE	STnc1880	ncRNA	chromosome
SL1344_0578	SL0578	STM0590	fepC	CDS	chromosome
SL1344_1505	SL1505	STM1574	smvA	CDS	chromosome
SL1344_2182	SL2182	STM2205	fruK	CDS	chromosome
SL1344_2945	SL2945	STM2964	yqcB	CDS	chromosome
SL1344_3377	SL3377	STM3410	mscL	CDS	chromosome
SL1344_1311	SL1311	STM1377	lpp	CDS	chromosome
SL1344_1537	SL1537	STM1607	STM1607	CDS	chromosome
SL1344_1577	SL1577	STM1647	ldhA	CDS	chromosome
SL1344_2181	SL2181	STM2204	fruA	CDS	chromosome
SL1344_2715	NONE	NONE	SL1344_2715	CDS	prophage
SL1344_2794	SL2794	STM2809	proV	CDS	chromosome
SL1344_2968	SL2968	STM2988	mltA	CDS	chromosome
SL1344_3574	SL3574	STM3609	yhjE	CDS	chromosome
SL1344_3692	SL3692	STM3726	mutM	CDS	chromosome
SL1344_ncRNA_16	NONE	NONE	SgrS	ncRNA	chromosome
SL1344_0109A	NONE	NONE	sgrT	CDS	chromosome
SL1344_1009	SL1009	STM1069	ycbG	CDS	chromosome
SL1344_1098	SL1098	STM1161	bssS	CDS	chromosome
SL1344_1495	SL1495	STM1565	rpsV	CDS	chromosome
SL1344_2368	SL2368	STM2400	STM2400	CDS	chromosome
SL1344_2563	SL2563	STM2599	gipA	CDS	prophage
SL1344_2790	SL2790	STM2805	nrdH	CDS	chromosome
SL1344_ncRNA_20	NONE	NONE	STnc3250	ncRNA	chromosome
SL1344_ncRNA_250	NONE	NONE	STnc1860	ncRNA	chromosome
SL1344_1280	SL1280	STM1346	ydiE	CDS	chromosome
SL1344_2169	SL2169	STM2192	yeiB	CDS	chromosome
SL1344_3026	SL3026	STM3050	yqfB	CDS	chromosome
SL1344_3817	SL3817	STM3850	yieF	CDS	chromosome
SL1344_ncRNA_170	NONE	NONE	IsrK	ncRNA	prophage
SL1344_0253	SL0253	STM0258	yafD	CDS	chromosome
SL1344_0584	SL0584	STM0596	entE	CDS	chromosome
SL1344_0936	SL0936	STM0999	ompF	CDS	chromosome
SL1344_2176	SL2176	STM2199	cirA	CDS	chromosome
SL1344_2266	SL2266	STM2297	yfbE	CDS	chromosome
SL1344_2407	SL2407	STM2444	cysP	CDS	chromosome
SL1344_2982	SL2982	STM3004	nudH	CDS	chromosome
SL1344_3844	SL3844	STM3877	asnA	CDS	chromosome
SL1344_0574	SL0574	STM0586	fes	CDS	chromosome
SL1344_0580	SL0580	STM0592	fepD	CDS	chromosome
SL1344_0618	SL0618	STM0630	ccrB	CDS	chromosome
SL1344_1016	SL1016	STM1076	mgsA	CDS	chromosome
SL1344_1095	SL1095	STM1158	yceJ	CDS	chromosome
SL1344_3235	SL3235	STM3262	gatR	CDS	chromosome
SL1344_3474	SL3474	STM3507	yhgG	CDS	chromosome
SL1344_ncRNA_221	NONE	NONE	ArcZ	ncRNA	chromosome
SL1344_0254	SL0254	STM0259	yafE	CDS	chromosome
SL1344_0486	SL0486	STM0493	fsr	CDS	chromosome
SL1344_0573	SL0573	STM0585	fepA	CDS	chromosome
SL1344_2796	SL2796	STM2811	proX	CDS	chromosome
SL1344_4283	SL4283	STM4346	yjeO	CDS	chromosome
SL1344_ncRNA_188	NONE	NONE	STnc1410	ncRNA	chromosome
SL1344_0358	SL0358	STM0363	STM0363	CDS	chromosome
SL1344_3030	SL3030	STM3054	gcvH	CDS	chromosome
SL1344_3816	SL3816	STM3849	yieE	CDS	chromosome
SL1344_4230	SL4230	STM4293	yjdB	CDS	chromosome
SL1344_ncRNA_268	NONE	NONE	STnc880	ncRNA	chromosome
SL1344_1682	SL1682	STM1751	hns	CDS	chromosome
SL1344_0442	SL0442	STM0448	clpP	CDS	chromosome
SL1344_1912	SL1912	STM1983	dsrB	CDS	chromosome
SL1344_2654	SL2654	STM2681	grpE	CDS	chromosome
SL1344_2780	SL2780	STM2796	yqaE	CDS	chromosome
SL1344_0582	SL0582	STM0594	fepB	CDS	chromosome
SL1344_1323	SL1323	STM1389	orf319	CDS	chromosome
SL1344_1470	SL1470	STM1541	STM1541	CDS	chromosome
SL1344_3169	SL3169	STM3196	yqiC	CDS	chromosome
SL1344_ncRNA_228	NONE	NONE	STnc1590	ncRNA	chromosome
SL1344_3861	SL3861	STM3901	ilvG	CDS	chromosome
SL1344_3919	SL3919	STM3965	metE	CDS	chromosome
SL1344_0013	SL0013	STM0013	dnaJ	CDS	chromosome
SL1344_0935	SL0935	STM0998	aspC	CDS	chromosome
SL1344_2057	SL2057	STM2080	udg	CDS	chromosome
SL1344_2267	SL2267	STM2298	pmrF	CDS	chromosome
SL1344_2302	SL2302	STM2333	yfbS	CDS	chromosome
SL1344_3762	SL3762	STM3796	ilvB	CDS	chromosome
