Locus_tag	Gene_name	Gene_type	Location	EBSS_rep1	EBSS_rep2	WTM_rep1	WTM_rep2
SL1344_0079	fixX	CDS	chromosome	1.476	2.307	1.771	2.228
SL1344_0080	yaaU	CDS	chromosome	7.089	6.211	6.145	5.208
SL1344_0081	STM0080	CDS	chromosome	19.407	13.937	16.964	17.829
SL1344_0082	STM0081	CDS	chromosome	401.198	533.440	265.380	217.215
SL1344_0083	STM0082	CDS	chromosome	461.298	736.932	128.530	94.303
SL1344_0083A	SL1344_0083A	CDS	chromosome	355.607	605.980	106.208	97.075
SL1344_0084	STM0084	CDS	chromosome	8.588	10.464	5.936	5.953
SL1344_0085	SL1344_0085	CDS	chromosome	2.928	2.323	2.033	5.426
SL1344_0086	yabF	CDS	chromosome	14.629	15.686	12.662	12.253
SL1344_0087	kefC	CDS	chromosome	12.675	13.879	11.879	10.861
SL1344_0088	folA	CDS	chromosome	82.526	74.523	79.179	94.943
SL1344_0089	apaH	CDS	chromosome	118.283	135.277	88.963	88.093
SL1344_0090	apaG	CDS	chromosome	208.925	223.129	166.795	184.595
SL1344_0091	ksgA	CDS	chromosome	223.062	258.305	163.410	186.130
SL1344_0092	pdxAa	CDS	chromosome	181.774	189.798	171.915	179.309
SL1344_0093	surA	CDS	chromosome	223.559	253.522	206.100	204.831
SL1344_0094	imp	CDS	chromosome	167.041	170.728	151.289	151.954
SL1344_0095	djlA	CDS	chromosome	93.217	89.129	93.925	92.874
SL1344_0096	rluA	CDS	chromosome	22.514	22.918	25.864	26.905
SL1344_0097	hepA	CDS	chromosome	15.421	15.355	13.693	13.608
SL1344_0098	polB	CDS	chromosome	25.896	25.507	28.929	28.347
SL1344_0099	STM0098	CDS	chromosome	12.571	12.672	13.572	12.928
SL1344_0099A	SL1344_0099A	CDS	chromosome	6.853	7.026	7.184	8.043
SL1344_0100	STM0100	CDS	chromosome	5.705	6.205	4.090	5.258
SL1344_0101	araD	CDS	chromosome	2.906	4.332	3.104	3.466
SL1344_0102	araA	CDS	chromosome	2.417	3.179	2.000	1.459
SL1344_0103	araB	CDS	chromosome	0.588	1.061	0.455	0.550
SL1344_0104	araC	CDS	chromosome	24.211	25.430	23.414	20.179
SL1344_0105	yabI	CDS	chromosome	48.006	53.963	43.092	38.977
SL1344_0106	thiQ	CDS	chromosome	9.361	7.398	7.885	8.325
SL1344_0107	thiP	CDS	chromosome	6.921	6.709	6.739	6.289
SL1344_0108	tbpA	CDS	chromosome	12.646	9.192	9.206	10.282
SL1344_0109	yabN	CDS	chromosome	6.581	6.268	7.847	7.304
SL1344_0109A	sgrT	CDS	chromosome	653.215	554.637	808.707	841.109
SL1344_0110	leuD	CDS	chromosome	48.372	61.516	52.684	46.614
SL1344_0111	leuC	CDS	chromosome	31.047	39.265	35.414	31.709
SL1344_0112	leuB	CDS	chromosome	52.413	62.145	57.528	52.693
SL1344_0113	leuA	CDS	chromosome	47.398	52.629	55.977	55.702
SL1344_0114	leuL	CDS	chromosome	4419.438	5829.673	6078.911	7069.064
SL1344_0115	leuO	CDS	chromosome	4.253	4.705	3.579	4.074
SL1344_0116	ilvI	CDS	chromosome	28.206	36.374	31.169	31.003
SL1344_0117	ilvH	CDS	chromosome	59.305	69.485	54.772	61.175
SL1344_0118	fruR	CDS	chromosome	42.569	42.762	35.734	31.181
SL1344_0119	mraZ	CDS	chromosome	519.619	504.056	540.085	535.350
SL1344_0120	mraW	CDS	chromosome	273.313	269.937	328.127	336.117
SL1344_0121	ftsL	CDS	chromosome	312.232	301.303	371.440	383.618
SL1344_0122	ftsI	CDS	chromosome	189.108	176.252	238.086	288.718
SL1344_0123	murE	CDS	chromosome	128.886	131.016	143.095	137.319
SL1344_0124	murF	CDS	chromosome	108.900	104.233	125.828	112.274
SL1344_0125	mraY	CDS	chromosome	145.682	149.789	160.014	149.209
SL1344_0126	murD	CDS	chromosome	138.988	138.696	149.814	150.311
SL1344_0127	ftsW	CDS	chromosome	152.549	157.497	164.543	149.442
SL1344_0128	murG	CDS	chromosome	120.751	125.457	140.259	134.455
SL1344_0129	murC	CDS	chromosome	124.108	119.600	118.718	116.558
SL1344_0130	ddl	CDS	chromosome	196.945	198.940	243.124	239.778
SL1344_0131	ftsQ	CDS	chromosome	186.092	177.687	202.983	200.365
SL1344_0132	ftsA	CDS	chromosome	215.813	220.610	238.494	252.652
SL1344_0133	ftsZ	CDS	chromosome	281.258	307.762	279.658	278.887
SL1344_0134	lpxC	CDS	chromosome	715.670	713.639	717.618	714.516
SL1344_0135	yacA	CDS	chromosome	112.425	95.175	105.798	97.534
SL1344_0136	secA	CDS	chromosome	106.470	103.581	98.137	95.677
SL1344_0137	mutT	CDS	chromosome	20.299	20.260	18.097	19.896
SL1344_0138	yacG	CDS	chromosome	89.873	75.987	77.586	81.373
SL1344_0139	yacF	CDS	chromosome	52.957	53.093	53.609	52.970
SL1344_0140	coaE	CDS	chromosome	52.275	40.363	43.265	48.924
SL1344_0141	guaC	CDS	chromosome	157.546	145.032	161.300	162.087
SL1344_0142	pilC	CDS	chromosome	1.012	1.104	0.848	0.992
SL1344_0143	pilB	CDS	chromosome	0.836	0.516	0.552	0.301
SL1344_0144	pilA	CDS	chromosome	1.015	1.517	0.460	1.226
SL1344_0145	nadC	CDS	chromosome	23.746	21.617	23.571	24.052
SL1344_0146	ampD	CDS	chromosome	93.464	95.815	108.028	93.423
SL1344_0147	ampE	CDS	chromosome	49.811	58.543	59.332	61.417
SL1344_0148	STM0148	CDS	chromosome	4.978	4.138	5.814	6.041
SL1344_0149	STM0149	CDS	chromosome	4.354	3.995	3.873	3.617
SL1344_0150	aroP	CDS	chromosome	32.036	35.444	36.393	35.927
SL1344_0151	pdhR	CDS	chromosome	93.105	82.898	71.961	86.979
SL1344_0152	aceE	CDS	chromosome	210.182	218.687	231.661	207.137
SL1344_0153	aceF	CDS	chromosome	248.818	261.199	296.083	264.662
SL1344_0154	lpdA	CDS	chromosome	332.818	372.915	323.423	309.840
SL1344_0155	STM0155	CDS	chromosome	5.288	4.662	4.803	5.550
SL1344_0156	STM0156	CDS	chromosome	2.781	4.323	2.711	2.148
SL1344_0157	yacH	CDS	chromosome	2.656	2.120	1.944	1.441
SL1344_0159	acnB	CDS	chromosome	150.554	151.809	124.383	107.546
SL1344_0160	STM0159	CDS	chromosome	145.324	128.329	123.345	130.601
SL1344_0161	yacL	CDS	chromosome	161.292	129.091	175.092	155.718
SL1344_0162	kdgT	CDS	chromosome	4.760	4.473	4.839	4.083
SL1344_0163	STM0162	CDS	chromosome	4.041	5.283	3.798	3.379
SL1344_0164	pdxAb	CDS	chromosome	20.737	19.501	20.253	18.380
SL1344_0165	STM0164	CDS	chromosome	84.614	74.822	91.792	92.856
SL1344_0166	speD	CDS	chromosome	64.119	54.572	50.963	46.118
SL1344_0167	speE	CDS	chromosome	45.424	45.107	43.253	36.101
SL1344_0168	yacC	CDS	chromosome	206.113	175.624	231.538	217.917
SL1344_0169	cueO	CDS	chromosome	10.747	12.878	10.130	9.355
SL1344_0170	gcd	CDS	chromosome	29.886	43.386	27.357	27.473
SL1344_0171	hpt	CDS	chromosome	74.989	63.472	57.230	71.527
SL1344_0172	yadF	CDS	chromosome	577.070	552.944	676.640	708.394
SL1344_0173	yadG	CDS	chromosome	40.084	40.600	35.903	34.819
SL1344_0174	yadH	CDS	chromosome	34.411	35.890	33.768	33.580
SL1344_0175	stiH	CDS	chromosome	3.507	3.407	3.107	2.957
SL1344_0176	stiC	CDS	chromosome	0.850	0.712	0.653	0.674
SL1344_0177	stiB	CDS	chromosome	0.904	0.710	0.903	0.982
SL1344_0178	stiA	CDS	chromosome	3.578	3.217	2.684	2.874
SL1344_0179	yadI	CDS	chromosome	16.037	11.703	10.834	11.099
SL1344_0180	yadE	CDS	chromosome	25.450	27.794	19.639	18.004
SL1344_0181	panD	CDS	chromosome	131.357	117.895	112.716	108.334
SL1344_0182	panC	CDS	chromosome	26.352	23.070	22.571	24.748
SL1344_0183	panB	CDS	chromosome	23.471	20.066	22.062	22.949
SL1344_0184	folK	CDS	chromosome	18.075	20.121	17.838	14.891
SL1344_0185	pcnB	CDS	chromosome	50.861	49.661	47.231	52.128
SL1344_0186	yadB	CDS	chromosome	21.313	23.110	16.839	16.887
SL1344_0187	dksA	CDS	chromosome	551.853	455.878	466.471	468.810
SL1344_0188	sfsA	CDS	chromosome	79.513	69.984	77.856	71.034
SL1344_0189	ligT	CDS	chromosome	49.600	45.279	57.017	58.621
SL1344_0190	hrpB	CDS	chromosome	28.715	28.328	28.586	29.001
SL1344_0191	mrcB	CDS	chromosome	69.848	67.325	61.766	62.859
SL1344_0192	fhuA	CDS	chromosome	156.994	143.947	169.849	184.928
SL1344_0193	fhuC	CDS	chromosome	82.668	76.204	92.765	96.789
SL1344_0194	fhuD	CDS	chromosome	69.290	62.658	69.602	71.664
SL1344_0195	fhuB	CDS	chromosome	70.006	62.089	77.248	78.063
SL1344_0196	stfA	CDS	chromosome	2.618	2.551	2.488	1.756
SL1344_0197	stfC	CDS	chromosome	2.145	2.788	1.702	1.740
SL1344_0198	stfD	CDS	chromosome	1.925	2.715	1.337	1.030
SL1344_0199	stfE	CDS	chromosome	1.982	3.494	0.946	2.328
SL1344_0200	stfF	CDS	chromosome	3.241	3.803	2.307	2.096
SL1344_0201	stfG	CDS	chromosome	2.183	2.646	1.365	0.899
SL1344_0202	STM0201	CDS	chromosome	10.605	12.532	11.391	11.902
SL1344_0203	hemL	CDS	chromosome	70.836	68.295	78.720	77.279
SL1344_0204	clcA	CDS	chromosome	19.051	18.723	20.064	18.847
SL1344_0205	yadR	CDS	chromosome	891.887	805.032	929.693	945.253
SL1344_0206	yadS	CDS	chromosome	7.649	7.289	7.678	7.916
SL1344_0207	btuF	CDS	chromosome	13.099	12.791	13.822	12.053
SL1344_0208	mtn	CDS	chromosome	63.802	62.031	72.381	69.638
SL1344_0209	dgt	CDS	chromosome	37.730	33.052	38.619	40.181
SL1344_0210	htrA	CDS	chromosome	183.488	183.561	142.313	142.514
SL1344_0211	cdaR	CDS	chromosome	32.072	32.126	33.400	28.943
SL1344_0212	yaeH	CDS	chromosome	348.515	285.481	376.703	318.651
SL1344_0213	STM0212	CDS	chromosome	186.470	259.043	118.179	111.874
SL1344_0214	dapD	CDS	chromosome	389.975	361.488	396.670	397.024
SL1344_0215	glnD	CDS	chromosome	25.258	26.593	25.811	25.401
SL1344_0216	map	CDS	chromosome	126.439	106.831	132.785	126.624
SL1344_0217	rpsB	CDS	chromosome	1023.086	977.262	942.874	805.333
SL1344_0218	tsf	CDS	chromosome	599.243	518.152	517.971	530.198
SL1344_0219	pyrH	CDS	chromosome	221.657	204.476	186.663	174.998
SL1344_0220	frr	CDS	chromosome	430.926	425.983	411.506	451.440
SL1344_0221	dxr	CDS	chromosome	49.591	46.533	51.910	58.567
SL1344_0222	uppS	CDS	chromosome	192.569	186.833	157.065	169.277
SL1344_0223	cdsA	CDS	chromosome	151.072	199.492	165.407	174.285
SL1344_0224	yaeL	CDS	chromosome	318.167	399.841	325.816	350.559
SL1344_0225	yaeT	CDS	chromosome	424.036	455.236	397.328	370.012
SL1344_0226	hlpA	CDS	chromosome	948.184	1019.873	833.657	862.608
SL1344_0227	lpxD	CDS	chromosome	410.004	436.280	396.277	406.859
SL1344_0228	fabZ	CDS	chromosome	655.121	664.767	636.785	645.783
SL1344_0229	lpxA	CDS	chromosome	275.520	340.385	293.255	319.553
SL1344_0230	lpxB	CDS	chromosome	81.749	96.688	77.193	89.131
SL1344_0231	rnhB	CDS	chromosome	85.902	86.838	83.691	88.509
SL1344_0232	dnaE	CDS	chromosome	76.971	83.313	69.097	73.425
SL1344_0233	accA	CDS	chromosome	148.325	165.521	132.735	132.094
SL1344_0234	STM0233	CDS	chromosome	13.474	12.283	12.051	13.653
SL1344_0235	ldcC	CDS	chromosome	34.370	33.495	41.301	40.211
SL1344_0236	yaeR	CDS	chromosome	66.888	54.508	72.056	66.959
SL1344_0237	mesJ	CDS	chromosome	25.254	25.382	30.539	30.731
SL1344_0238	rof	CDS	chromosome	201.415	152.603	175.779	196.506
SL1344_0239	yaeP	CDS	chromosome	608.281	429.929	561.199	576.315
SL1344_0240	yaeQ	CDS	chromosome	62.995	69.773	53.361	57.776
SL1344_0241	yaeJ	CDS	chromosome	94.697	79.793	81.410	82.514
SL1344_0242	cutF	CDS	chromosome	57.446	69.809	63.068	65.407
SL1344_0243	proS	CDS	chromosome	79.855	77.232	80.881	79.169
SL1344_0244	yaeB	CDS	chromosome	26.665	27.463	30.177	30.667
SL1344_0245	rcsF	CDS	chromosome	125.147	96.209	104.380	104.014
SL1344_0246	metQ	CDS	chromosome	165.549	161.007	198.557	192.198
SL1344_0247	yaeE	CDS	chromosome	68.044	62.939	89.715	77.076
SL1344_0248	abc	CDS	chromosome	46.735	39.836	48.778	45.866
SL1344_0249	yaeD	CDS	chromosome	106.737	94.272	117.303	103.746
SL1344_0250	dkgB	CDS	chromosome	19.083	20.085	17.259	14.662
SL1344_0251	yafC	CDS	chromosome	9.968	8.712	11.059	10.666
SL1344_0252	STM0257	CDS	chromosome	3.549	4.128	4.131	4.086
SL1344_0253	yafD	CDS	chromosome	82.297	80.190	108.188	109.622
SL1344_0254	yafE	CDS	chromosome	50.476	45.998	66.771	61.354
SL1344_0255	dniR	CDS	chromosome	196.423	228.537	157.472	175.555
SL1344_0256	gloB	CDS	chromosome	35.323	33.121	32.805	28.937
SL1344_0257	yafS	CDS	chromosome	31.484	23.042	34.859	34.385
SL1344_0258	rnhA	CDS	chromosome	81.752	59.509	74.844	91.128
SL1344_0259	dnaQ	CDS	chromosome	59.289	50.124	57.788	53.777
SL1344_0260	sciA	CDS	chromosome	3.641	4.863	3.597	3.321
SL1344_0261	sciB	CDS	chromosome	1.998	2.334	1.374	1.438
SL1344_0262	sciC	CDS	chromosome	3.374	3.689	2.728	2.780
SL1344_0263	sciD	CDS	chromosome	4.762	5.420	5.097	4.612
SL1344_0264	sciE	CDS	chromosome	3.888	2.973	2.830	3.238
SL1344_0265	sciF	CDS	chromosome	3.531	3.933	3.359	2.247
SL1344_0266	sciG	CDS	chromosome	2.708	2.555	2.379	2.250
SL1344_0267	sciH	CDS	chromosome	2.918	3.576	2.620	2.171
SL1344_0268	sciI	CDS	chromosome	3.052	3.318	2.892	2.707
SL1344_0270	sciJ	CDS	chromosome	8.473	8.231	5.224	4.740
SL1344_0271	sciK	CDS	chromosome	1.352	2.103	0.801	1.228
SL1344_0272	STM0277	CDS	chromosome	9.781	7.781	6.738	8.167
SL1344_0273	STM0278	CDS	chromosome	6.441	3.992	3.145	2.876
SL1344_0274	sciK1	CDS	chromosome	2.465	3.049	1.905	1.904
SL1344_0275	sciN	CDS	chromosome	1.008	1.094	0.925	0.750
SL1344_0276	sciO	CDS	chromosome	1.495	1.027	1.208	0.999
SL1344_0277	sciP	CDS	chromosome	1.880	2.310	1.491	1.875
SL1344_0278	sciQ	CDS	chromosome	2.521	2.740	1.994	2.314
SL1344_0279	sciR	CDS	chromosome	1.700	1.005	1.864	1.554
SL1344_0280	sciS	CDS	chromosome	2.851	3.882	2.868	2.772
SL1344_0281	sciT	CDS	chromosome	4.433	4.210	3.844	3.310
SL1344_0282	sciU	CDS	chromosome	5.931	3.676	3.765	4.366
SL1344_0283	sciV	CDS	chromosome	8.810	9.936	6.993	7.804
SL1344_0284	vgrS	CDS	chromosome	2.841	2.730	2.408	2.542
SL1344_0285	sciW	CDS	chromosome	1.686	1.543	1.591	1.001
SL1344_0286	STM0291	CDS	chromosome	11.000	11.751	10.433	10.453
SL1344_0286A	SL1344_0286A	CDS	chromosome	79.122	80.427	61.204	68.620
SL1344_0286B	STM0292	CDS	chromosome	58.411	57.447	59.456	59.966
SL1344_0288	sciX	CDS	chromosome	28.877	23.493	19.395	26.707
SL1344_0289	sciY	CDS	chromosome	10.116	10.659	6.477	9.643
SL1344_0291	STM0295	CDS	chromosome	20.761	19.514	13.203	20.476
SL1344_0292	STM0296	CDS	chromosome	3.569	5.045	5.043	3.137
SL1344_0293	STM0297	CDS	chromosome	3.289	7.973	5.140	7.197
SL1344_0294	STM0298	CDS	chromosome	0.995	0.329	0.461	0.256
SL1344_0295	safA	CDS	chromosome	44.974	31.777	39.921	40.316
SL1344_0296	safB	CDS	chromosome	11.935	8.016	7.951	7.482
SL1344_0297	safC	CDS	chromosome	14.198	15.640	14.094	14.263
SL1344_0298	safD	CDS	chromosome	15.344	18.390	12.480	14.004
SL1344_0299	ybeJ	CDS	chromosome	24.965	27.167	11.853	13.760
SL1344_0300	sinR	CDS	chromosome	61.761	46.304	55.408	50.182
SL1344_0301	STM0305	CDS	chromosome	10.735	7.807	8.574	9.257
SL1344_0302	pagN	CDS	chromosome	538.363	721.453	272.655	248.830
SL1344_0303	sciZ	CDS	chromosome	121.338	198.268	77.495	77.391
SL1344_0304	yafV	CDS	chromosome	53.893	45.046	56.756	46.749
SL1344_0305	fadE	CDS	chromosome	44.352	49.952	40.760	29.686
SL1344_0306	gmhA	CDS	chromosome	159.991	160.541	190.804	184.480
SL1344_0307	yafJ	CDS	chromosome	68.990	67.669	72.903	75.894
SL1344_0308	yafK	CDS	chromosome	36.821	28.689	31.006	32.825
SL1344_0309	dbh	CDS	chromosome	48.857	43.649	43.107	41.319
SL1344_0310	STM0314	CDS	chromosome	39.946	37.378	27.262	30.718
SL1344_0311	prfH	CDS	chromosome	33.650	31.699	22.389	28.462
SL1344_0312	pepD	CDS	chromosome	141.305	143.385	148.819	139.500
SL1344_0313	gpt	CDS	chromosome	47.992	35.849	38.565	40.703
SL1344_0314	frsA	CDS	chromosome	69.936	56.478	74.119	68.583
SL1344_0315	crl	CDS	chromosome	457.313	439.955	540.616	496.371
SL1344_0316	phoE	CDS	chromosome	130.546	102.737	87.964	92.595
SL1344_0317	proB	CDS	chromosome	104.684	102.342	108.140	111.958
SL1344_0318	proA	CDS	chromosome	64.518	62.253	64.344	69.101
SL1344_0319	STM0325	CDS	chromosome	2.847	2.871	2.697	2.515
SL1344_0320	dhaF	CDS	chromosome	1.676	1.215	1.464	0.918
SL1344_0322	STM0327	CDS	chromosome	660.683	427.107	626.693	449.512
SL1344_0323	STM0328	CDS	chromosome	2.378	2.667	1.505	1.534
SL1344_0324	leuC2	CDS	chromosome	1.686	1.977	1.856	1.302
SL1344_0325	leuD2	CDS	chromosome	2.650	2.771	2.076	1.809
SL1344_0326	STM0331	CDS	chromosome	5.012	6.191	6.015	4.652
SL1344_0327	STM0332	CDS	chromosome	7.405	8.861	6.810	7.111
SL1344_0328	STM0333	CDS	chromosome	13.695	12.758	13.272	14.660
SL1344_0329	STM0334	CDS	chromosome	9.343	7.487	10.520	8.308
SL1344_0330	STM0335	CDS	chromosome	10.751	7.428	7.265	8.452
SL1344_0331	stbE	CDS	chromosome	7.408	7.978	5.976	6.468
SL1344_0332	stbD	CDS	chromosome	5.086	6.282	4.372	5.390
SL1344_0333	stbC	CDS	chromosome	3.040	2.985	3.716	3.382
SL1344_0334	stbB	CDS	chromosome	0.152	0.704	0.405	0.313
SL1344_0335	stbA	CDS	chromosome	0.720	0.190	0.300	0.445
SL1344_0336	STM0341	CDS	chromosome	34.706	31.128	26.402	27.484
SL1344_0337	STM0342	CDS	chromosome	20.982	20.298	13.367	18.914
SL1344_0338	STM0343	CDS	chromosome	12.784	13.724	10.395	11.502
SL1344_0339	STM0344	CDS	chromosome	84.019	73.321	74.389	77.821
SL1344_0340	STM0345	CDS	chromosome	32.758	28.686	29.859	32.713
SL1344_0341	STM0346	CDS	chromosome	14.796	12.654	11.145	8.811
SL1344_0342	STM0347	CDS	chromosome	17.848	12.775	9.072	9.739
SL1344_0343	STM0348	CDS	chromosome	12.109	9.198	7.515	6.035
SL1344_0344	STM0349	CDS	chromosome	16.639	12.633	11.184	10.114
SL1344_0345	STM0350	CDS	chromosome	1.617	1.787	1.399	1.105
SL1344_0346	STM0351	CDS	chromosome	1.244	1.024	0.839	0.961
SL1344_0347	STM0352	CDS	chromosome	0.420	0.581	0.451	0.177
SL1344_0348	STM0353	CDS	chromosome	2.608	3.148	2.931	2.549
SL1344_0349	STM0354	CDS	chromosome	6.940	6.923	5.599	5.359
SL1344_0350	STM0355	CDS	chromosome	29.926	29.875	31.383	35.201
SL1344_0351	STM0356	CDS	chromosome	13.221	20.742	7.812	9.210
SL1344_0352	mod	CDS	chromosome	38.301	33.937	39.459	38.376
SL1344_0353	res	CDS	chromosome	39.886	37.485	39.368	36.604
SL1344_0354	STM0359	CDS	chromosome	173.529	158.314	196.041	156.245
SL1344_0355	STM0360	CDS	chromosome	15.621	20.091	16.154	16.081
SL1344_0356	STM0361	CDS	chromosome	26.643	32.981	30.491	30.184
SL1344_0357	STM0362	CDS	chromosome	11.594	12.378	12.585	11.938
SL1344_0358	STM0363	CDS	chromosome	225.648	182.897	279.435	257.911
SL1344_0359	foxA	CDS	chromosome	47.698	42.185	62.946	64.501
SL1344_0360	yahN	CDS	chromosome	103.850	85.492	105.284	83.829
SL1344_0361	yahO	CDS	chromosome	127.000	135.160	116.309	94.076
SL1344_0362	prpR	CDS	chromosome	6.346	6.191	6.471	5.103
SL1344_0363	prpB	CDS	chromosome	3.046	3.453	2.841	2.185
SL1344_0364	prpC	CDS	chromosome	3.187	2.883	2.145	2.002
SL1344_0365	prpD	CDS	chromosome	2.196	1.936	2.375	2.271
SL1344_0366	prpE	CDS	chromosome	4.055	4.793	3.314	2.705
SL1344_0367	hemB	CDS	chromosome	89.818	76.049	90.900	80.075
SL1344_0368	yaiU	CDS	chromosome	17.948	16.790	16.148	15.791
SL1344_0369	yaiV	CDS	chromosome	10.033	9.090	9.463	10.235
SL1344_0370	ampH	CDS	chromosome	29.899	31.899	29.048	30.584
